CO_CURSO;NO_CURSO;NO_CINE_AREA_GERAL;NO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_DETALHADA;QT_VG_TOTAL
5001662;Abi - Educação Física;Programas básicos;Programas básicos;Programas básicos;0
1113617;Administração Pública;Negócios, administração e direito;Negócios e administração;Gestão e administração;150
1599664;Ciência E Tecnologia;Ciências naturais, matemática e estatística;Programas interdisciplinares abrangendo ciências naturais, matemática e estatística;Programas interdisciplinares abrangendo ciências naturais, matemática e estatística;850
114386;Ciências Naturais E Matemática;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);117
1357965;Matemática;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);121
105652;Pedagogia;Educação;Educação;Formação de professores sem áreas específicas;0
1425400;Tecnologia Educacional;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);229
112158;Artes Visuais;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
112160;Educação Física;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
1434981;Física;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
122210;Geografia;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
112162;Letras - Língua Portuguesa E Respectiva Literatura;Educação;Educação;Formação de professores de letras;0
112164;Música;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
112170;Pedagogia;Educação;Educação;Formação de professores sem áreas específicas;0
112166;Teatro;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
1116573;Administração Pública;Negócios, administração e direito;Negócios e administração;Gestão e administração;0
1457508;Biblioteconomia;Ciências sociais, comunicação e informação;Comunicação e informação;Ciência da informação e museologia;0
106411;Ciências Biológicas;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
1321266;Filosofia;Educação;Educação;Formação de professores em áreas específicas (exceto Letras);0
